0.0,0.0&e4:5f:01:63:71:a3,-74.0;e4:5f:01:63:71:55,-67.333;e4:5f:01:63:71:b5,-64.75;e4:5f:01:63:71:e5,-74.8;e4:5f:01:63:71:64,-70.833
0.0,0.0&e4:5f:01:63:71:a3,-74.553;e4:5f:01:63:71:55,-67.393;e4:5f:01:63:71:b5,-64.947;e4:5f:01:63:71:e5,-74.562;e4:5f:01:63:71:64,-70.855
0.0,0.0&e4:5f:01:63:71:a3,-73.442;e4:5f:01:63:71:55,-67.655;e4:5f:01:63:71:b5,-62.717;e4:5f:01:63:71:e5,-77.176;e4:5f:01:63:71:64,-70.867
0.0,0.0&e4:5f:01:63:71:a3,-75.076;e4:5f:01:63:71:55,-68.307;e4:5f:01:63:71:b5,-60.786;e4:5f:01:63:71:e5,-77.052;e4:5f:01:63:71:64,-67.994
0.0,0.0&e4:5f:01:63:71:a3,-76.334;e4:5f:01:63:71:55,-68.227;e4:5f:01:63:71:b5,-62.105;e4:5f:01:63:71:e5,-75.202;e4:5f:01:63:71:64,-68.064
0.0,0.0&e4:5f:01:63:71:a3,-77.844;e4:5f:01:63:71:55,-69.762;e4:5f:01:63:71:b5,-60.301;e4:5f:01:63:71:e5,-73.426;e4:5f:01:63:71:64,-67.928
0.0,0.0&e4:5f:01:63:71:a3,-74.298;e4:5f:01:63:71:55,-69.577;e4:5f:01:63:71:b5,-59.544;e4:5f:01:63:71:e5,-73.451;e4:5f:01:63:71:64,-68.767
0.0,0.0&e4:5f:01:63:71:a3,-74.219;e4:5f:01:63:71:55,-68.292;e4:5f:01:63:71:b5,-57.784;e4:5f:01:63:71:e5,-73.626;e4:5f:01:63:71:64,-69.654
0.0,0.0&e4:5f:01:63:71:a3,-73.938;e4:5f:01:63:71:55,-67.426;e4:5f:01:63:71:b5,-59.529;e4:5f:01:63:71:e5,-73.784;e4:5f:01:63:71:64,-72.118
0.0,0.0&e4:5f:01:63:71:a3,-74.38;e4:5f:01:63:71:55,-67.965;e4:5f:01:63:71:b5,-59.889;e4:5f:01:63:71:e5,-74.409;e4:5f:01:63:71:64,-71.367
0.0,3.0&e4:5f:01:63:71:a3,-69.285;e4:5f:01:63:71:55,-63.125;e4:5f:01:63:71:b5,-72.25;e4:5f:01:63:71:e5,-63.833;e4:5f:01:63:71:64,-58.555
0.0,3.0&e4:5f:01:63:71:a3,-69.274;e4:5f:01:63:71:55,-62.136;e4:5f:01:63:71:b5,-69.271;e4:5f:01:63:71:e5,-65.481;e4:5f:01:63:71:64,-57.103
0.0,3.0&e4:5f:01:63:71:a3,-68.597;e4:5f:01:63:71:55,-63.304;e4:5f:01:63:71:b5,-69.049;e4:5f:01:63:71:e5,-63.739;e4:5f:01:63:71:64,-58.658
0.0,3.0&e4:5f:01:63:71:a3,-69.682;e4:5f:01:63:71:55,-63.343;e4:5f:01:63:71:b5,-68.442;e4:5f:01:63:71:e5,-62.313;e4:5f:01:63:71:64,-58.318
0.0,3.0&e4:5f:01:63:71:a3,-69.239;e4:5f:01:63:71:55,-63.841;e4:5f:01:63:71:b5,-68.317;e4:5f:01:63:71:e5,-62.27;e4:5f:01:63:71:64,-57.675
0.0,3.0&e4:5f:01:63:71:a3,-67.381;e4:5f:01:63:71:55,-64.125;e4:5f:01:63:71:b5,-68.648;e4:5f:01:63:71:e5,-60.586;e4:5f:01:63:71:64,-57.43
0.0,3.0&e4:5f:01:63:71:a3,-66.549;e4:5f:01:63:71:55,-62.216;e4:5f:01:63:71:b5,-69.431;e4:5f:01:63:71:e5,-59.263;e4:5f:01:63:71:64,-58.205
0.0,3.0&e4:5f:01:63:71:a3,-65.831;e4:5f:01:63:71:55,-64.463;e4:5f:01:63:71:b5,-67.658;e4:5f:01:63:71:e5,-61.547;e4:5f:01:63:71:64,-55.783
0.0,3.0&e4:5f:01:63:71:a3,-65.824;e4:5f:01:63:71:55,-64.866;e4:5f:01:63:71:b5,-66.895;e4:5f:01:63:71:e5,-62.769;e4:5f:01:63:71:64,-55.171
0.0,3.0&e4:5f:01:63:71:a3,-65.961;e4:5f:01:63:71:55,-66.338;e4:5f:01:63:71:b5,-67.327;e4:5f:01:63:71:e5,-63.323;e4:5f:01:63:71:64,-54.162
0.0,6.0&e4:5f:01:63:71:a3,-72.75;e4:5f:01:63:71:55,-62.75;e4:5f:01:63:71:b5,-71.5;e4:5f:01:63:71:e5,-70.666;e4:5f:01:63:71:64,-66.0
0.0,6.0&e4:5f:01:63:71:a3,-74.628;e4:5f:01:63:71:55,-62.872;e4:5f:01:63:71:b5,-69.672;e4:5f:01:63:71:e5,-71.802;e4:5f:01:63:71:64,-65.875
0.0,6.0&e4:5f:01:63:71:a3,-73.792;e4:5f:01:63:71:55,-65.591;e4:5f:01:63:71:b5,-67.489;e4:5f:01:63:71:e5,-71.44;e4:5f:01:63:71:64,-66.879
0.0,6.0&e4:5f:01:63:71:a3,-72.609;e4:5f:01:63:71:55,-64.854;e4:5f:01:63:71:b5,-65.937;e4:5f:01:63:71:e5,-72.649;e4:5f:01:63:71:64,-68.042
0.0,6.0&e4:5f:01:63:71:a3,-71.364;e4:5f:01:63:71:55,-64.303;e4:5f:01:63:71:b5,-64.914;e4:5f:01:63:71:e5,-72.346;e4:5f:01:63:71:64,-68.462
0.0,6.0&e4:5f:01:63:71:a3,-70.17;e4:5f:01:63:71:55,-64.707;e4:5f:01:63:71:b5,-64.447;e4:5f:01:63:71:e5,-74.02;e4:5f:01:63:71:64,-67.549
0.0,6.0&e4:5f:01:63:71:a3,-70.042;e4:5f:01:63:71:55,-64.393;e4:5f:01:63:71:b5,-64.385;e4:5f:01:63:71:e5,-74.399;e4:5f:01:63:71:64,-66.826
0.0,6.0&e4:5f:01:63:71:a3,-71.289;e4:5f:01:63:71:55,-66.773;e4:5f:01:63:71:b5,-63.332;e4:5f:01:63:71:e5,-74.901;e4:5f:01:63:71:64,-67.57
0.0,6.0&e4:5f:01:63:71:a3,-72.439;e4:5f:01:63:71:55,-65.31;e4:5f:01:63:71:b5,-63.274;e4:5f:01:63:71:e5,-74.969;e4:5f:01:63:71:64,-68.328
0.0,6.0&e4:5f:01:63:71:a3,-73.596;e4:5f:01:63:71:55,-63.45;e4:5f:01:63:71:b5,-66.371;e4:5f:01:63:71:e5,-74.351;e4:5f:01:63:71:64,-66.799
0.0,9.0&e4:5f:01:63:71:a3,-66.5;e4:5f:01:63:71:55,-69.125;e4:5f:01:63:71:b5,-71.5;e4:5f:01:63:71:e5,-65.833;e4:5f:01:63:71:64,-67.428
0.0,9.0&e4:5f:01:63:71:a3,-65.06;e4:5f:01:63:71:55,-69.024;e4:5f:01:63:71:b5,-70.434;e4:5f:01:63:71:e5,-66.813;e4:5f:01:63:71:64,-69.697
0.0,9.0&e4:5f:01:63:71:a3,-64.864;e4:5f:01:63:71:55,-68.11;e4:5f:01:63:71:b5,-69.317;e4:5f:01:63:71:e5,-67.892;e4:5f:01:63:71:64,-70.236
0.0,9.0&e4:5f:01:63:71:a3,-65.64;e4:5f:01:63:71:55,-70.092;e4:5f:01:63:71:b5,-69.077;e4:5f:01:63:71:e5,-65.368;e4:5f:01:63:71:64,-68.753
0.0,9.0&e4:5f:01:63:71:a3,-64.695;e4:5f:01:63:71:55,-69.325;e4:5f:01:63:71:b5,-70.735;e4:5f:01:63:71:e5,-66.276;e4:5f:01:63:71:64,-66.757
0.0,9.0&e4:5f:01:63:71:a3,-64.795;e4:5f:01:63:71:55,-69.157;e4:5f:01:63:71:b5,-71.025;e4:5f:01:63:71:e5,-66.012;e4:5f:01:63:71:64,-66.27
0.0,9.0&e4:5f:01:63:71:a3,-67.321;e4:5f:01:63:71:55,-71.489;e4:5f:01:63:71:b5,-72.581;e4:5f:01:63:71:e5,-66.165;e4:5f:01:63:71:64,-65.688
0.0,9.0&e4:5f:01:63:71:a3,-64.626;e4:5f:01:63:71:55,-69.937;e4:5f:01:63:71:b5,-72.855;e4:5f:01:63:71:e5,-65.62;e4:5f:01:63:71:64,-65.745
0.0,9.0&e4:5f:01:63:71:a3,-63.936;e4:5f:01:63:71:55,-68.515;e4:5f:01:63:71:b5,-73.931;e4:5f:01:63:71:e5,-66.275;e4:5f:01:63:71:64,-64.287
0.0,9.0&e4:5f:01:63:71:a3,-64.462;e4:5f:01:63:71:55,-69.317;e4:5f:01:63:71:b5,-74.601;e4:5f:01:63:71:e5,-64.145;e4:5f:01:63:71:64,-62.435
0.0,12.0&e4:5f:01:63:71:a3,-61.85;e4:5f:01:63:71:55,-67.12;e4:5f:01:63:71:b5,-73.0;e4:5f:01:63:71:e5,-65.0;e4:5f:01:63:71:64,-65.28
0.0,12.0&e4:5f:01:63:71:a3,-64.58;e4:5f:01:63:71:55,-66.32;e4:5f:01:63:71:b5,-73.6;e4:5f:01:63:71:e5,-66.61;e4:5f:01:63:71:64,-64.63
0.0,12.0&e4:5f:01:63:71:a3,-62.67;e4:5f:01:63:71:55,-66.19;e4:5f:01:63:71:b5,-69.5;e4:5f:01:63:71:e5,-68.02;e4:5f:01:63:71:64,-64.28
0.0,12.0&e4:5f:01:63:71:a3,-64.36;e4:5f:01:63:71:55,-65.5;e4:5f:01:63:71:b5,-67.6;e4:5f:01:63:71:e5,-67.1;e4:5f:01:63:71:64,-64.96
0.0,12.0&e4:5f:01:63:71:a3,-64.62;e4:5f:01:63:71:55,-65.32;e4:5f:01:63:71:b5,-67.3;e4:5f:01:63:71:e5,-66.56;e4:5f:01:63:71:64,-65.62
0.0,12.0&e4:5f:01:63:71:a3,-65.13;e4:5f:01:63:71:55,-65.59;e4:5f:01:63:71:b5,-68.93;e4:5f:01:63:71:e5,-66.3;e4:5f:01:63:71:64,-64.75
0.0,12.0&e4:5f:01:63:71:a3,-64.02;e4:5f:01:63:71:55,-66.34;e4:5f:01:63:71:b5,-69.93;e4:5f:01:63:71:e5,-65.29;e4:5f:01:63:71:64,-63.82
0.0,12.0&e4:5f:01:63:71:a3,-63.74;e4:5f:01:63:71:55,-66.27;e4:5f:01:63:71:b5,-69.03;e4:5f:01:63:71:e5,-65.93;e4:5f:01:63:71:64,-64.12
0.0,12.0&e4:5f:01:63:71:a3,-62.89;e4:5f:01:63:71:55,-67.03;e4:5f:01:63:71:b5,-69.2;e4:5f:01:63:71:e5,-66.85;e4:5f:01:63:71:64,-63.16
0.0,12.0&e4:5f:01:63:71:a3,-61.45;e4:5f:01:63:71:55,-66.67;e4:5f:01:63:71:b5,-69.18;e4:5f:01:63:71:e5,-68.32;e4:5f:01:63:71:64,-63.27
0.0,15.0&e4:5f:01:63:71:a3,-79.0;e4:5f:01:63:71:55,-65.0;e4:5f:01:63:71:b5,-78.57;e4:5f:01:63:71:e5,-55.37;e4:5f:01:63:71:64,-65.44
0.0,15.0&e4:5f:01:63:71:a3,-82.6;e4:5f:01:63:71:55,-65.56;e4:5f:01:63:71:b5,-79.09;e4:5f:01:63:71:e5,-54.53;e4:5f:01:63:71:64,-65.65
0.0,15.0&e4:5f:01:63:71:a3,-82.82;e4:5f:01:63:71:55,-63.76;e4:5f:01:63:71:b5,-77.29;e4:5f:01:63:71:e5,-55.93;e4:5f:01:63:71:64,-65.02
0.0,15.0&e4:5f:01:63:71:a3,-82.57;e4:5f:01:63:71:55,-61.09;e4:5f:01:63:71:b5,-78.88;e4:5f:01:63:71:e5,-55.48;e4:5f:01:63:71:64,-66.01
0.0,15.0&e4:5f:01:63:71:a3,-81.17;e4:5f:01:63:71:55,-60.59;e4:5f:01:63:71:b5,-77.42;e4:5f:01:63:71:e5,-55.43;e4:5f:01:63:71:64,-66.34
0.0,15.0&e4:5f:01:63:71:a3,-81.54;e4:5f:01:63:71:55,-60.79;e4:5f:01:63:71:b5,-76.52;e4:5f:01:63:71:e5,-55.97;e4:5f:01:63:71:64,-65.9
0.0,15.0&e4:5f:01:63:71:a3,-82.33;e4:5f:01:63:71:55,-61.43;e4:5f:01:63:71:b5,-76.53;e4:5f:01:63:71:e5,-54.55;e4:5f:01:63:71:64,-64.09
0.0,15.0&e4:5f:01:63:71:a3,-82.95;e4:5f:01:63:71:55,-61.15;e4:5f:01:63:71:b5,-77.89;e4:5f:01:63:71:e5,-55.82;e4:5f:01:63:71:64,-65.01
0.0,15.0&e4:5f:01:63:71:a3,-81.63;e4:5f:01:63:71:55,-61.86;e4:5f:01:63:71:b5,-76.88;e4:5f:01:63:71:e5,-55.72;e4:5f:01:63:71:64,-66.11
